Question,Answer,Explanation
What is 2+2?,4,"Basic arithmetic: adding two and two equals four."
What is the capital of France?,Paris,"Paris has been the capital of France since 987 AD when Hugh Capet made it his capital."
What are the primary colors?,"red, blue, yellow","Primary colors cannot be created by mixing other colors. They form the basis for all other colors on the color wheel."
Who wrote Romeo and Juliet?,Shakespeare,"William Shakespeare wrote this famous tragedy in the early stage of his career, around 1594-1595."
What is the speed of light?,"299792458 m/s","The speed of light in vacuum is exactly 299,792,458 meters per second, a fundamental constant of nature."
What is the largest planet in our solar system?,Jupiter,"Jupiter is the fifth planet from the Sun and the largest in the Solar System with a mass more than twice that of all other planets combined."
What is H2O?,Water,"H2O is the chemical formula for water, consisting of two hydrogen atoms bonded to one oxygen atom."
What year did World War II end?,1945,"World War II ended in 1945 with Germany's surrender in May (V-E Day) and Japan's surrender in August (V-J Day)."
What is the square root of 144?,12,"The square root of 144 is 12 because 12 × 12 = 144."
Who painted the Mona Lisa?,Leonardo da Vinci,"Leonardo da Vinci painted the Mona Lisa between 1503 and 1519. It is one of the most recognizable paintings in the world."
What is the boiling point of water?,100°C,"At standard atmospheric pressure (1 atm), water boils at 100 degrees Celsius or 212 degrees Fahrenheit."
How many continents are there?,7,"The seven continents are Africa, Antarctica, Asia, Australia, Europe, North America, and South America."
What is the smallest prime number?,2,"2 is the smallest and only even prime number, as it has exactly two factors: 1 and itself."
What is photosynthesis?,"Process plants use to convert light into energy","Photosynthesis is the process by which green plants use sunlight to synthesize nutrients from carbon dioxide and water, producing oxygen as a byproduct."
Who was the first person to walk on the moon?,Neil Armstrong,"Neil Armstrong became the first human to step on the lunar surface on July 20, 1969, during NASA's Apollo 11 mission."
