Question,Answer
What has keys but no locks?,Keyboard
What comes once in a minute but never in a thousand years?,The letter M
Which planet is closest to the Sun?,Mercury
What word becomes shorter when you add two letters to it?,Short
How many sides does a hexagon have?,6
What's the only vowel not on the top row of a keyboard?,A
What year did the Berlin Wall fall?,1989
What's always in front of you but can't be seen?,The future
Which element has the symbol Fe?,Iron
What has hands but can't clap?,Clock
Who said "I think therefore I am"?,Descartes
What number is a baker's dozen?,13
What can travel around the world while staying in a corner?,Stamp
Which programming language is named after a type of coffee?,Java
What gets wetter the more it dries?,Towel
What's the speed of sound in air approximately?,343 meters per second
What building has the most stories?,Library
Which chess piece can only move diagonally?,Bishop
What begins with T ends with T and has T in it?,Teapot
What's the only country that is also a continent?,Australia
What runs but never walks?,River
Which gas do plants absorb from the atmosphere?,Carbon dioxide
What's full of holes but still holds water?,Sponge
What comes down but never goes up?,Rain
What's the smallest country in the world?,Vatican City
